author,text,likes,clean_text
@programmingwithmosh,"- Subscribe for more C++ tutorials: https://goo.gl/6PYaGF
- Want to learn more? Try my Complete C++ Programming course: https://mosh.link/cpp-course
- Get my free C++ cheat sheet and summary notes: https://mosh.link/cpp-cheatsheet",684,subscribe c tutorials want learn try complete c programming course get free c cheat sheet summary notes
@maryeng5458,Learned more and UNDERSTOOD you more in 30mins than my teacher trying to teach this in 4 2hr classes.. thank you!!,0,learned understood mins teacher trying teach hr classes thank
@Patience.sambo_06,"It’s 05:04am and I have been skipping this video since 01:29 becsuse it’s long , I’m writing 8:30am and i know nothing I hope it helps 😢",0,skipping video since becsuse long im writing know nothing hope helps cryingface
@Gamma...,rond 49:12 en 52:12,0,rond en
@IrfanKamal-d7d,September 2025?,0,september
@biligochir3494,I didn't understood the lesson of high school so I am watching this tutorial. Wish me luck.,0,didnt understood lesson high school watching tutorial wish luck
@advanced2780,"swithced schools actually

last school they use Python, on the new school they use C++ but since im actually leveling up the degree it starts from start again. I figured i should get a bit of outside lessons XD Well here we go! On my way to finish another school and become an engineer in 5 years",0,swithced schools actually last school use python new school use c since im actually leveling degree starts start figured get bit outside lessons xd well go way finish another school become engineer years
@FutureCodingStars,This is a fantastic introduction to C++ for beginners. Building a strong foundation with core concepts like variables and data types is so rewarding for new learners.,1,fantastic introduction c beginners building strong foundation core concepts like variables data types rewarding new learners
@chrispowell2947,"Hi Mosh! I learned C# from you many years ago, on Udemy. Just today, I just submitted my compsci dissertation, on a desktop application written in C#! I was sitting here wondering what to do with myself now and I thought, hm, I'm bored, guess I'll learn C++. I type ""Learn C++"" into youtube and this video pops up. Guess you're destined to teach me every programming language from here on in lol. Can't wait!",0,hi mosh learned c many years ago udemy today submitted compsci dissertation desktop application written c sitting wondering thought hm im bored guess ill learn c type learn c youtube video pops guess youre destined teach every programming language lol cant wait
@suspicious_melon1411,thanks!,0,thanks
@saranghe3426,"First time watching I have zero idea with c++ the first exercise about switching. MY ANSWER WAS SO FUNNY HAHAHA COUT << INT B = INT A, INT A = INT B; HAHHAHAHA 25:56",0,first time watching zero idea c first exercise switching answer funny hahaha cout int b int int int b hahhahaha
@2wishuponstar,what is the difference between int and double you never explained!,0,difference int double never explained
@2wishuponstar,the mathematical expressions literally made no fucking sense.,0,mathematical expressions literally made fucking sense
@2wishuponstar,i’m actually gonna cry i’m gonna fucking fail this class why is this so difficult,1,im actually gon na cry im gon na fucking fail class difficult
@apporvaarya,thanks for such a good video,0,thanks good video
@icecreampersonidk2682,58:27,0,
