author,text,likes,clean_text
@phukan123,Best teacher for BSc/btech mathematics and physics students,0,best teacher bscbtech mathematics physics students
@ShatrudhanDaiya,"All 7th formula clear ✅

#Lecture 02 complete 💯✅ 

Thanks sir ❤️👍",0,th formula clear checkmarkbutton lecture complete hundredpoints checkmarkbutton thanks sir redheart thumbsup
@kailashgupta2516,Best video 👍 sir,0,best video thumbsup sir
@SanjayYadav-by4ie,Thank you sir very useful,0,thank sir useful
@sadeedkhan133,Sir agar Laplace of 1 ke jagga Laplace of c mean constant I think it can more precise,0,sir agar laplace ke jagga laplace c mean constant think precise
@JanseeGola,Thank you so much sir,0,thank much sir
@JustExpectations,"Sir
A lot of love for you
No words to describe my expressions",0,sir lot love words describe expressions
@adityakumarsahu7128,thank u sir,0,thank u sir
@Rishikeshmishra5562,Thanks sir,0,thanks sir
@craftyqueenprokiti5093,Sir Gamma function ka definition me x^n-1 tha but here x^n liya apne,0,sir gamma function ka definition xn tha xn liya apne
@nikitavirulkar1986,"Thank you sir for this helpful video, I understand how to solve Laplace transform 🙏",0,thank sir helpful video understand solve laplace transform foldedhands
@Maharashtra.temple,Nice ❤,0,nice redheart
@Ahtesham_014,I have no words for your great explanation your teaching style is very nice ❤😊,12,words great explanation teaching style nice redheart smilingfacewithsmilingeyes
@umairkhan-le5fd,A bunch of respect from Pakistan sir. More Strength to you❤❤,1,bunch respect pakistan sir strength redheart redheart
@sudip142,2024😊😊,0,smilingfacewithsmilingeyes smilingfacewithsmilingeyes
@adduu_3107,Outstanding video sir thank you so much❤,0,outstanding video sir thank much redheart
@SoumyaRanjanNayak-c7h,Thank you sir ❤❤,0,thank sir redheart redheart
@agreng15093,Today i understood Laplace because studied today only😅,0,today understood laplace studied today grinningfacewithsweat
@Papunkumarvlog,Thanks sir,0,thanks sir
@100lidstudy4,Thank you so much sir❤,0,thank much sir redheart
@mahekjoshi9959,"Thank You sir, Very useful for 3rd sem Students",0,thank sir useful rd sem students
@muskanbairwa31,Fantastic 👍,0,fantastic thumbsup
@priyankaarya4715,❤❤❤,0,redheart redheart redheart
@AyushGupta-pg9ng,osm sir,0,osm sir
@SonofAboTanvv,"Video uploaded 4 hours ago, then how come the comments are 2-3 years old?",0,video uploaded hours ago come comments years old
@Artificialintelligence-zb7lk,Thanku sir dil say❤❤❤❤🙏🙏🙏🙏🙏,2,thanku sir heart say redheart redheart redheart redheart foldedhands foldedhands foldedhands foldedhands foldedhands
