author,text,likes,clean_text
@CollegeWallahbyPW,"📗 Enroll Now in Decode Batches and become JOB READY:
📌 Python with DSA: https://bit.ly/4bXv5xF 
📌 Java with DSA: https://bit.ly/49vEQkZ 
📌 C++ with DSA: https://bit.ly/49NnNKT",10,greenbook enroll decode batches become job ready pushpin python dsa pushpin java dsa pushpin c dsa
@mobrurahmed-ts8ht4ry3r,Mazaa aagaya🎉,0,mazaa aagaya partypopper
@79SAMYAK_MAHUDWALEBORKAR,C bahut bada hai,0,c bada hai
@Mdsaif-d5x,❤❤❤😊,0,redheart redheart redheart smilingfacewithsmilingeyes
@Mdsaif-d5x,Nice session ❤,0,nice session redheart
@SoniSingh-fj7rv,1:29:40,0,
@deathrahul7856,1:19,1,
@crazyrider9301,10:00 start,0,start
@arora-b1z,"1:08:52  sir  mera ans toh zero show ho raha hai isska 
koi bta do kya mistake hai
int p=28;
    int c=26;
    int m =30;
    int e=30;
    int ss=28;
    int percentage=(142)/150*100;
        cout<<percentage;",2,sir mera ans toh zero show ho raha hai isska koi bta kya mistake hai int p int c int int e int ss int percentage coutpercentage
@royjha4615,Yeh sab ka pdf file mil sakta hai kya,0,yeh sab ka pdf file mil sakta hai kya
@royjha4615,Bhai sab ka pdf miloga kya,0,bhai sab ka pdf miloga kya
@Atm_Nirbhar_Balak-g5r,Ye padhne ke baad hm DSA start kr skte hai?,0,ye padhne ke baad hm dsa start kr skte hai
@RomanIqbal-j8m,X,0,x
@sushilkumarrinku6876,3:01:43,0,
@ajitroy77,Thanks,0,thanks
@SanjivaniKhaire-o6b,Thanks 🙏,0,thanks foldedhands
@PalakKumari-v7p,Sir plz notes baja degaya,0,sir plz notes baja degaya
@AzharKhan_10,Recomended for all BS students🥰,1,recomended bs students smilingfacewithhearts
@Poonamkumarisrivastava,Thank you so much sir for explanation,0,thank much sir explanation
@Poorcatshorts1,1:45:35 Bhai Kia hwa 😂,3,bhai kia hwa facewithtearsofjoy
@nashrariya,C ki ma bhn lagi padhii h hamari toh 😹😹,0,c ki bhn lagi padhii h hamari toh catwithtearsofjoy catwithtearsofjoy
@hbpbvlogs7407,❤❤,0,redheart redheart
@CodeCenter-j6p,Assalam o alaikum sir bhut smjaya hai apne 🤲allah tumhe khush rakhe ameen,0,assalam alaikum sir bhut smjaya hai apne palmsuptogether allah tumhe khush rakhe ameen
@harshrathi720,I button ni aayaa,1,button ni aayaa
@hbpbvlogs7407,Thankyou sir ❤,0,thankyou sir redheart
@kaushalrai7572,I am learning for my son. But I think he can learn directly from  the video. Great job 👍,1,learning son think learn directly video great job thumbsup
@Harshit_patel70406,Completed the full lecture ❤❤,1,completed full lecture redheart redheart
