author,text,likes
@programmingwithmosh,"- Subscribe for more C++ tutorials: https://goo.gl/6PYaGF
- Want to learn more? Try my Complete C++ Programming course: https://mosh.link/cpp-course
- Get my free C++ cheat sheet and summary notes: https://mosh.link/cpp-cheatsheet",684
@maryeng5458,Learned more and UNDERSTOOD you more in 30mins than my teacher trying to teach this in 4 2hr classes.. thank you!!,0
@Patience.sambo_06,"It’s 05:04am and I have been skipping this video since 01:29 becsuse it’s long , I’m writing 8:30am and i know nothing I hope it helps 😢",0
@Gamma...,rond 49:12 en 52:12,0
@IrfanKamal-d7d,September 2025?,0
@biligochir3494,I didn't understood the lesson of high school so I am watching this tutorial. Wish me luck.,0
@advanced2780,"swithced schools actually

last school they use Python, on the new school they use C++ but since im actually leveling up the degree it starts from start again. I figured i should get a bit of outside lessons XD Well here we go! On my way to finish another school and become an engineer in 5 years",0
@FutureCodingStars,This is a fantastic introduction to C++ for beginners. Building a strong foundation with core concepts like variables and data types is so rewarding for new learners.,1
@chrispowell2947,"Hi Mosh! I learned C# from you many years ago, on Udemy. Just today, I just submitted my compsci dissertation, on a desktop application written in C#! I was sitting here wondering what to do with myself now and I thought, hm, I'm bored, guess I'll learn C++. I type ""Learn C++"" into youtube and this video pops up. Guess you're destined to teach me every programming language from here on in lol. Can't wait!",0
@suspicious_melon1411,thanks!,0
@saranghe3426,"First time watching I have zero idea with c++ the first exercise about switching. MY ANSWER WAS SO FUNNY HAHAHA COUT << INT B = INT A, INT A = INT B; HAHHAHAHA 25:56",0
@2wishuponstar,what is the difference between int and double you never explained!,0
@2wishuponstar,the mathematical expressions literally made no fucking sense.,0
@2wishuponstar,i’m actually gonna cry i’m gonna fucking fail this class why is this so difficult,1
@apporvaarya,thanks for such a good video,0
@icecreampersonidk2682,58:27,0
@themaverick2707,Thank you Mosh....You are an amazing teacher! May God bless you mightily🙏🙏🙏🙏🙏🙏,0
@Bogdanjtv,I want to learn on sdk 💀,0
@ZiadRaed-cp7yq,I will start,0
@cologne_corner,58:15 your answer that was given was not precise the one i made which had less code was more precise,0
@Andrei_clips,"24:03 I just wreit ""b = a;"" and it functionet XD",0
@KUNALKumar-c5i8q,Please make for class 7 ICSE board C plus plus program one video please😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,1
@mikyle-justin745,How old are u ⬇️,1
@devinb7805,"30:40
Let’s let them pass between us

-some space guy in a robe.",0
@AlexanderGreat-s3j,September 8 2025?,0
@UdaybhanSingh-u1q,September 8 2025 ?,0
@andmultigame2,rivesdj here kinsa ako ka batch drj,0
@bluespartan2123,"since no one is saying it 1:05:15 ""67""",0
@Genesis_Lorenz,No freaking way 😡😤🥺🤧😮‍💨,0
@brad_copper,"September, 2025?",0
@RadoslavZbořil-g9r,Zachránil jsi mi den,0
@manikantarajun369,Thanks for this sir iam really saying that  this is the very good lecture for me sir your describeing every element and every statement  very deeply thank you sir this describeing helps me to understand deeply thank you sir😊❤,0
@newyorkheart,Concise and useful information,0
@GeletaEtefa-z3g,Ty,0
@ari-c5s1b,Hey where are the intermediate and the advanced versions...😅,0
@josephngoma5831,5th September 2025????❤️👍,1
@CharlesKaluba-d5r,Cool.. master,0
@BLANK-vy5gl,Ahh CBU student In the buibui,0
@channaveerkerimath3864,September 4th 2025,0
@lakshmiaishwarya4169,September 4 2025,2
@chessmaster2041,thank you sooooo much for this tutorial. just what i needed,1
@Jackito1,I think this is the first time I've ever actually started to understand C++. Thank you,5
@satyamgupta5154,Etna shudh Hindi nahi Samaja aatee ...plz use practical every day spoken Hindi..,0
@RabbitOfForest,I’m 14 years old. I dream to become a programmer thank you for posting this I’m gonna start learning c++ from today.,0
@ShareemAtalad-jt4ky,Watching this just before the exam💀,0
@Kabila.Shabab-ok9fl,Mr. Mosh is it enough for C++?,0
@count.nosferatuu,28:51,0
@0xD90F39DFAE,why is memory management with C++ not taught here,1
@ash_fault6309,❤  love from india,0
@YaBoi7RTG,How do I get a license?,0
@nehlmagpantay5348,it's like watching a movie,0
@Noot-k2m9f,I didn't get the pdf to my email.... what should I do....???,0
@Zircuitz,Fun fact: CLion is now free to use for non-commercial use.,0
@SaadKhan-l2e,i solve that by defining a = b then I print a and get value of b is this good approach,0
@SaadKhan-l2e,dam for the first time i solve a coding problem,0
@olivesarenice207,im so confused lol. how was i supposed to know how to even solve that first issue? am i supposed to have something else open on the side to go along with this,0
@KingKieran28,"25:16 I thought ""he's gonna call it C or something theres no way he's gonna say tem- OKAY WHAT THE-""",0
@manniensofwa,"27th August, 2025",0
@paulicarphayford5341,1:15:36 my head 🤕😢,0
@GianFrncis,August 26 2025?,104
@MrMusaibyt,Code block is better or not,0
@curtisunit,This is definitely getting me into c++. Perfect explanations,0
@itslevannah,"This helped a lot, thanks!",0
@healthinsurancehub,Any one in 2025 give a like,1
@KumaraSwamy234,Notes,0
@jayc.s.4419,"41, and back to 1st yr of college taking up BS in Computer Science. I need this!",0
@lavanya_2000-k6b,"22nd August 2025
Starting C++ programming course!

47:07 Such an intelligent move!",2
@devonkiss,"In your first exercise.. three variables are not needed. C++ is focused on memory management. I came up with the best solution by first setting a to the sum of a+b, then by setting b to the result of a - b, and finally, setting b to a-b as b is now the difference of the sum of both variables from the beginning which is now a. This results in a swapped set of variables, no additional memory needed and solves the exercise as succinctly as possible.

Now, I am not a C++ pro and that is why I am learning it here! But simple mathematics can and should be used to accomplish coding challenges, where possible. We must think outside of the box as often as possible... I hope everyone found their own way to solve this issue and there is certainly nothing wrong with holding an additional extremely small integer in memory for this example.. but it can be achieved in fewer steps with less memory involved and without an additional variable in the namespace.

Keep up the great tutorials, they are appreciated.",0
@BassUpdate2,jude erklär besser,0
@cute_pie-g3s5k,Bro I didn't get the sheet?,0
