author,text,likes
@CollegeWallahbyPW,"📗 Enroll Now in Decode Batches and become JOB READY:
📌 Python with DSA: https://bit.ly/4bXv5xF 
📌 Java with DSA: https://bit.ly/49vEQkZ 
📌 C++ with DSA: https://bit.ly/49NnNKT",10
@mobrurahmed-ts8ht4ry3r,Mazaa aagaya🎉,0
@79SAMYAK_MAHUDWALEBORKAR,C bahut bada hai,0
@Mdsaif-d5x,❤❤❤😊,0
@Mdsaif-d5x,Nice session ❤,0
@SoniSingh-fj7rv,1:29:40,0
@deathrahul7856,1:19,1
@crazyrider9301,10:00 start,0
@arora-b1z,"1:08:52  sir  mera ans toh zero show ho raha hai isska 
koi bta do kya mistake hai
int p=28;
    int c=26;
    int m =30;
    int e=30;
    int ss=28;
    int percentage=(142)/150*100;
        cout<<percentage;",2
@royjha4615,Yeh sab ka pdf file mil sakta hai kya,0
@royjha4615,Bhai sab ka pdf miloga kya,0
@Atm_Nirbhar_Balak-g5r,Ye padhne ke baad hm DSA start kr skte hai?,0
@RomanIqbal-j8m,X,0
@sushilkumarrinku6876,3:01:43,0
@ajitroy77,Thanks,0
@SanjivaniKhaire-o6b,Thanks 🙏,0
@PalakKumari-v7p,Sir plz notes baja degaya,0
@AzharKhan_10,Recomended for all BS students🥰,1
@Poonamkumarisrivastava,Thank you so much sir for explanation,0
@Poorcatshorts1,1:45:35 Bhai Kia hwa 😂,3
@nashrariya,C ki ma bhn lagi padhii h hamari toh 😹😹,0
@hbpbvlogs7407,❤❤,0
@CodeCenter-j6p,Assalam o alaikum sir bhut smjaya hai apne 🤲allah tumhe khush rakhe ameen,0
@harshrathi720,I button ni aayaa,1
@hbpbvlogs7407,Thankyou sir ❤,0
@kaushalrai7572,I am learning for my son. But I think he can learn directly from  the video. Great job 👍,1
@Harshit_patel70406,Completed the full lecture ❤❤,1
@user-yg8ld9se4w,Really apka lecture me sab kuchh samajh me aata hai thank you sir for this amazing one shot lecture.,1
@AminaAfzal-q7n,Kml ❤,1
@gang_30official,"1:34:09 Integer data type max and min limit
2:53:08 integer ki ascii value nikalne ka teesra tarika
3:01:43 if else statement
4:06:11 hierarchy
4:09:43 else if",11
@HasnatShah-ce6qv,Lecture smj agya maza agya😂,0
@Rajat-o8z,sir kal mera c++ ka practical hai and even tho mai commerce background se hu I opted this course ye sochke ki kuch extra skill sikhne milegi [DU- ba prog (acc+finance and computer application)] and I was finding it difficult to start with c++ but trust me aaj ye video dekh ke laga c++ is not that hard AT ALL. i hope kal ka practical acha jaye...Thankyou so much sir❤,0
@tanugupta9672,sir aap mismatch ke rishi jase dikte hai,1
@exampractice-c5u,maza aa gaya,0
@exampractice-c5u,"Assalam o Alaikum Sir, if we need to determine whether it will go from left to right or right to left, do we have to check the table every time? Is there an easier method to remember this?",0
@aceliongaming,who is watching in 2025,1
@aceliongaming,best c++ explanation,1
@DipSaha-z5l,Sab samaj aa geya maja aa geya ❤,1
@sheeladevimaurya8742,thak you sir for this easy to understand lecture💥,1
@AyushKumarp4723,"[1].I have seen this lecture today.I have completely understood all the concepts you explained in class. Your teaching method was very simple and effective, which made me understand everything easily. I am very grateful to you for your guidance and hard work. Your student, [Ayush ]...🫡❤️😊
3rd DECEMBER 2024...",1
@talksbreak,Maja aagya bhai ❤❤,0
@NavneetPatel-o7e,Kahane ki bat nahi hai sir sach me maja aa gaya,0
@ananyasharma5345,Can anybody provide timestamps please??,1
@itsinfinity163,I am industrial and production engineering student.     We also have c++ with oop i am watching this video 1 day before my exam,1
@Pravin502,This same code is use in Turbo C++ Complier or not,0
@DishaChakraborty-ef3sv,Thank you so much sir for great explanation ❤ you helped me a lot❤,0
@DREAMIIT-k8x,Use 1.5x speed for better understanding 😂😂,1
@vishalsharma903,loops kidhr hai?,0
@lightoflearning8586,Raghav garg sir please ap collection framework padhaiye pls sir pls pls pls pls pls,0
@lightoflearning8586,Raghav garg sir please ap collection framework padhaiye,0
@lightoflearning8586,Raghav garg sir please ap collection framework padhaiye,0
@RamisaAjmal,Finally lecture ma sab Kuch smjh a gya ha after all four days bhi lagai Hein itni lambi video k lie,0
@sania_khurshid,Is this lecture sufficient for class 12th cs?,0
@omkarz2507,52:35,0
@khayyammajid6659,nice leacture sir great teaching skills,0
@RolandShytie,36665 Prosacco Lodge,0
@SakshisinghIITR,3:46:25,0
@SakshisinghIITR,50:41 note,1
@h.kofficial991,All concepts are clear 🎉,0
@himadmry3950,2:44:58,0
@itsme-s7y5p,Everything happened smoothly but I can't run assignment operators 😢some one plz help,0
@RAVIRANJAN-hj4yb,"Very easy method , thanks",0
@Naveedwazir1007,Super job sir,0
@MAKHDOOM847,Maza agaya sir smgh a gaye ❤,0
@RohitAgarwalla-rx1jq,PW>>>>>>,0
@dhirajbhattacharya8154,Thanks sir,1
@harshkhare8695,Raghav sir is best he makes very simple coding really,1
@ShivamPandey-mt4dj,why not it take input in leetcode?,1
@opketan477,loop kaha hai?,0
